row.ID,row.m.z,row.retention.time,X20240730_Ext_E31_24h_ddms30.mzML.Peak.area,X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area,Peakgroup_id,NonMGO.peak.area,MGO.peak.area,Peak_Area_Change,Label
2774,258.1122821,4.8888564,50691.223,0,110,50691.223,0,50691.223,S
3549,258.1700109,8.161933,20118.082,0,111,20118.082,0,20118.082,S
4917,258.2062286,12.632466,18636.004,17758.15,112,18636.004,17758.15,877.8539999999994,S
5075,258.2427291,13.436699,32497.998,36262.965,113,32497.998,36262.965,3764.966999999997,P
5289,259.1904357,14.602484,42073.34,37080.3,114,42073.34,37080.3,4993.039999999994,S
4976,259.2053943,12.983115,36257.26,0,115,36257.26,0,36257.26,S
3640,260.185682,8.486808,46383.734,0,116,46383.734,0,46383.734,S
5991,264.218256,17.336178,1161748.9,0,117,1161748.9,0,1161748.9,S
2231,265.1434532,3.621454,71396.22,0,118,71396.22,0,71396.22,S
2327,265.1545916,3.8821368,74756.98,0,119,74756.98,0,74756.98,S
1767,267.1339806,2.776633,186668.48,0,120,186668.48,0,186668.48,S
2200,267.1451757,3.5223637,73847.43,0,121,73847.43,0,73847.43,S
3864,267.1952967,9.207342,50501.17,5077.1807,122,50501.17,5077.1807,45423.9893,S
916,268.1040449,1.7495573,648749.56,0,123,648749.56,0,648749.56,S
3374,268.2119839,7.066431,131559.7,31413.225,124,131559.7,31413.225,100146.475,S
2977,270.0972431,5.331751,56194.26,9852.197,125,56194.26,9852.197,46342.063,S
2014,270.1915836,3.1356394,38757.6,0,126,38757.6,0,38757.6,S
3742,271.0600652,8.90326,98443.96,0,127,98443.96,0,98443.96,S
3932,271.226747,9.42738,243789.97,17673.525,128,243789.97,17673.525,226116.445,S
929,271.9440748,1.7585576,0,384518.12,129,0,384518.12,384518.12,P
860,272.112808,1.6754789,3355513.2,664151.3,130,3355513.2,664151.3,2691361.9000000004,S
1294,273.1445481,2.222825,115871.195,9935.207,131,115871.195,9935.207,105935.98800000001,S
656,273.9624513,1.1191808,0,534567.9,132,0,534567.9,534567.9,P
4057,275.2005384,9.808983,79667.99,8631.798,133,162744.41,17725.363,145019.047,S
4041,275.2005888,9.742079,83076.42,9093.565,133,162744.41,17725.363,145019.047,S
81,276.8967678,0.050860714,226273.67,99883.766,134,226273.67,99883.766,126389.90400000001,S
3503,277.0346263,7.853278,21741.453,0,135,21741.453,0,21741.453,S
4406,277.1797669,10.696268,152060.92,11816.552,136,152060.92,11816.552,140244.36800000002,S
4501,277.2160925,11.046341,69198.375,0,137,4183136.3049999997,406398.558,3776737.7469999995,S
5297,277.2161018,14.642155,167544.8,0,137,4183136.3049999997,406398.558,3776737.7469999995,S
4989,277.2161025,13.010633,2197282.8,260827.12,137,4183136.3049999997,406398.558,3776737.7469999995,S
5029,277.2161547,13.121412,1017131.9,108480.56,137,4183136.3049999997,406398.558,3776737.7469999995,S
5266,277.2162338,14.464098,97130.51,10572.123,137,4183136.3049999997,406398.558,3776737.7469999995,S
4955,277.2162507,12.893489,327127.1,0,137,4183136.3049999997,406398.558,3776737.7469999995,S
5231,277.2162808,14.276537,117095.55,11503.523,137,4183136.3049999997,406398.558,3776737.7469999995,S
4651,277.216293,11.363022,153346.88,15015.232,137,4183136.3049999997,406398.558,3776737.7469999995,S
5050,277.2163744,13.300808,37278.39,0,137,4183136.3049999997,406398.558,3776737.7469999995,S
447,278.1233294,0.9574384,375726.6,361248.7,138,375726.6,361248.7,14477.899999999965,S
6604,278.1975675,18.248852,467483.9,0,139,467483.9,0,467483.9,S
5379,279.1591388,15.041523,90756.87,77418.09,140,115497.95599999999,77418.09,38079.865999999995,S
5356,279.1591937,14.9197,24741.086,0,140,115497.95599999999,77418.09,38079.865999999995,S
4847,279.1954695,12.181336,69980.836,6997.8853,141,69980.836,6997.8853,62982.950699999994,S
5640,279.2317078,16.439041,1314977.2,121829.97,142,4601823.651,475937.2124,4125886.4385999995,S
5167,279.2317505,13.881824,2438047,275289.06,142,4601823.651,475937.2124,4125886.4385999995,S
5128,279.2318932,13.724804,504032.62,46949.53,142,4601823.651,475937.2124,4125886.4385999995,S
5482,279.2319138,15.795271,24804.926,0,142,4601823.651,475937.2124,4125886.4385999995,S
5391,279.2319285,15.19737,48325.605,6217.3994,142,4601823.651,475937.2124,4125886.4385999995,S
5202,279.2319337,14.103615,198618.08,18604.871,142,4601823.651,475937.2124,4125886.4385999995,S
5110,279.2319801,13.59787,73018.22,7046.382,142,4601823.651,475937.2124,4125886.4385999995,S
5996,281.2474109,17.336178,63108.293,0,143,198016.543,19385.79,178630.753,S
5215,281.2475399,14.168616,134908.25,19385.79,143,198016.543,19385.79,178630.753,S
1409,282.1198813,2.3194966,243474.7,0,144,243474.7,0,243474.7,S
4023,283.0600561,9.68272,38504.28,0,145,38504.28,0,38504.28,S
4817,283.0964935,12.106153,173862.83,0,146,173862.83,0,173862.83,S
1009,284.0990136,1.9002922,561489.5,23388.336,147,561489.5,23388.336,538101.164,S
5279,284.3312234,14.515537,90598.04,0,148,90598.04,0,90598.04,S
4620,285.0757514,11.263457,206245.38,0,149,450933.45,0,450933.45,S
3527,285.0759039,7.9617677,40869.77,0,149,450933.45,0,450933.45,S
3496,285.0759408,7.792282,203818.3,0,149,450933.45,0,450933.45,S
4689,285.2425267,11.604899,48313.094,7588.373,150,48313.094,7588.373,40724.721,S
3117,287.0546229,5.8676057,689138.2,0,151,689138.2,0,689138.2,S
