"row.ID","row.m.z","row.retention.time","X20240730_Ext_E31_24h_ddms30.mzML.Peak.area","X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area"
822,195.9488156,1.5948493,0,477942.06
1726,196.0970114,2.7173648,114441.21,13682.277
1041,198.0761688,1.9298763,209160.38,20449.84
1214,198.0872758,2.137148,62944.633,0
1468,199.1078051,2.4151204,458325.28,50584.504
5521,199.1692947,15.917858,79737.34,0
795,200.1027716,1.5640591,178266.08,0
377,203.0524667,0.87659925,479108.56,281022.53
5142,204.1382869,13.816399,0,20254.293
478,205.0818112,0.97217834,326999.8,193902.7
5969,206.1288282,17.336178,851257.2,0
6044,207.0174701,17.369654,1483504.2,705270.25
5510,207.0174734,15.901745,0,556972.6
2256,207.1017297,3.681373,21974.182,0
6575,208.1444566,18.147886,665042.5,457693.8
2293,210.1125252,3.775136,181292.03,0
2212,210.1125603,3.589008,104563.92,0
1954,210.1125964,3.0419185,82570.016,0
955,210.1157161,1.8056662,167900.66,20210.018
863,210.1158157,1.6883646,198290.89,0
2066,211.0236027,3.2613854,733346.1,0
5068,211.1116839,13.398125,20491.729,0
2872,212.0916948,5.0532436,167030.52,20570.639
1577,212.0917539,2.5513365,403803.62,0
1895,213.1235058,2.940506,121793.016,11713.854
1270,213.1346007,2.1962392,52598.89,0
4035,213.1484745,9.714765,53031.418,0
6502,214.15486,18.127333,511212.78,0
1918,215.0009886,2.9748595,77828.61,0
936,215.1026897,1.7687147,54915.297,11990.5205
1952,216.0867921,3.0260909,150320.66,13392.539
379,219.0264369,0.87659925,1154497.6,157604.56
5979,219.1239918,17.336178,319141.94,0
5277,219.174262,14.509016,56136.57,57664.797
925,219.9725661,1.7585576,0,1587060
1364,219.9725945,2.28993,3805282,0
87,223.0636527,0.065587126,2254509,2354781.5
1028,223.0636863,1.9193006,0,1836706.6
940,223.1076239,1.7788718,248279.05,0
1524,223.1078735,2.4836903,48939.133,0
4970,223.111528,12.953545,24049.127,0
2898,223.1551943,5.138044,965481.7,0
1339,224.0774532,2.2587554,83175.83,0
1611,224.0917065,2.5809596,79669.84,0
2429,224.1281509,4.168787,65309.457,0
6096,226.0119323,17.432316,1624298.4,1013858.44
1042,226.1186138,1.9298763,70563.86,23661.945
3738,226.1800825,8.861303,48503.43,19668.395
2891,227.1277549,5.098045,126426.53,16199.292
