row ID,row m/z,row retention time,20240730_Ext_E31_MGO_24h_ddms30.mzML Peak area,20240730_Ext_E31_24h_ddms30.mzML Peak area
2703,757.2178628,4.7280645,0,937763.44
2706,1073.240322,4.7280645,0,69845.23
2721,737.1918002,4.7635508,93936.7,0
2732,1233.313676,4.7958627,0,265850.9
2736,665.1704825,4.798713,227219.11,53633.22
2737,683.1808928,4.798713,5047169.5,1172984
2743,389.5666737,4.8015637,157183.81,0
2750,753.1863069,4.8015637,689358.06,0
2770,609.144764,4.854903,0,413522.2
2774,258.1122821,4.8888564,0,50691.223
2779,357.0599029,4.891549,81666.36,15366.404
2781,683.1810696,4.891549,4519274.5,903443.2
2788,537.1231541,4.894242,49786.867,0
2789,665.170363,4.894242,340028.88,0
2799,252.0863651,4.9181933,0,59514.89
2804,623.160361,4.9181933,0,207692.22
2805,757.2182543,4.9181933,0,139696.73
2807,641.1705051,4.920844,135678.83,391958.8
2819,381.0270626,4.95059,0,821730.7
2821,689.1375623,4.95059,0,1570494
2832,317.0289251,4.98182,0,389821.34
2835,625.1390559,4.98182,0,208567.28
2845,609.1447771,5.0113897,0,114248.016
2848,656.1468601,5.0113897,0,142388.45
2856,424.5695572,5.018608,70532.53,0
2857,735.1761331,5.018608,310632.03,0
2858,753.1867406,5.018608,951560.5,0
2860,194.0812211,5.0491366,0,111680.46
2872,212.0916948,5.0532436,20570.639,167030.52
2875,769.2185209,5.0573506,88958.42,0
2891,227.1277549,5.098045,16199.292,126426.53
2898,223.1551943,5.138044,0,965481.7
2909,753.1857512,5.151972,99252.39,0
2910,755.2018135,5.151972,105132.74,0
2911,743.2024304,5.159665,284598.38,2180793.5
2915,303.0496484,5.167359,0,186839.58
2919,595.1650958,5.167359,0,154074.3
2921,771.2333646,5.167359,0,480523.88
2923,667.1867476,5.181788,142460.17,0
2933,463.0868275,5.2326546,0,316210.66
2936,609.1445761,5.2326546,0,1359383.2
2937,737.1553697,5.2326546,0,69603.25
2945,625.1768017,5.262709,0,75765.54
2949,697.1975272,5.2865453,456349.2,97462.81
2969,667.1868443,5.310336,131899.56,0
2976,678.203029,5.3228674,0,52245.26
2977,270.0972431,5.331751,9852.197,56194.26
2979,190.0713608,5.4069595,2179071.2,0
2983,697.1966106,5.4069595,334518.9,0
2997,303.0494226,5.4264402,725247.2,3750954.2
2998,449.1076848,5.4264402,29391.645,177485.84
2999,465.1021929,5.4264402,305468.75,1645118.6
3000,611.1597658,5.4264402,1.35E+07,6.11E+07
3009,1221.311671,5.4457026,0,720935.4
3012,353.5563553,5.457033,123746.89,136419
3017,767.2020936,5.500223,117986.09,0
3020,373.0547352,5.5327864,63977.633,0
3022,388.5588928,5.5327864,95250.875,0
3023,535.1075728,5.5327864,74893.64,0
3024,681.1652167,5.5327864,2577507.8,0
3049,865.203408,5.6194887,10965.654,71798.52
3050,757.2185861,5.636074,30442.867,0
3060,578.1869334,5.641974,0,129650.805
3069,453.3436679,5.669156,62454.18,48180.45
3070,484.3860006,5.669156,31654.01,20672.258
3071,167.0554252,5.6694174,1049754.9,189162
3072,165.0547309,5.6719007,0,96287.7
3078,190.0713432,5.7050138,0,1872160.6
3084,303.0498333,5.720377,12603.521,238490.67
3085,465.1028268,5.720377,76478.45,1374526.8
3092,1219.298457,5.734579,0,123440.266
3096,683.1811961,5.7357407,117055.89,0
3108,309.0965707,5.8339906,0,79318.78
3109,435.1284195,5.8339906,0,137360.28
3111,681.1654543,5.83455,895780.5,291225.38
3114,373.054846,5.835109,107038.086,0
3115,535.1078394,5.835109,49556.332,0
3117,287.0546229,5.8676057,0,689138.2
3119,449.1071374,5.8676057,0,362752.72
3120,595.1650615,5.8680134,692692.9,1.03E+07
3130,579.1700416,5.963583,0,269975.94
3138,317.065105,5.9673967,66799.016,1001733
3139,479.1178523,5.9673967,31482.834,441114.2
3140,625.1755634,5.9673967,1353121,1.74E+07
3141,683.1818546,5.9673967,246653.66,21897.006
3150,793.1819254,6.022066,0,177933.78
3152,695.1812945,6.03592,304155.28,0
3153,435.1283537,6.045516,77892.16,589826.8
3160,567.1708759,6.0851803,0,110173
3163,463.1233149,6.1079283,31939.172,163101.8
3167,449.1076142,6.1147876,0,1002819.56
3168,466.1342731,6.1147876,0,169499.98
3172,683.1813732,6.125184,215073.58,47905.82
3178,665.1712199,6.166077,24897.281,0
3189,476.2130344,6.242293,0,106618.18
3199,463.0864174,6.271851,0,1438193.8
3202,609.1452421,6.305383,23884.893,0
3203,695.1815333,6.306692,105523.516,46579.668
3214,433.1126986,6.3375626,0,245347.47
3216,579.1704884,6.3375626,0,172229.45
3224,435.1284288,6.4364204,266083.66,2338772.2
3226,301.0706108,6.4370556,0,89030.875
3227,309.0965145,6.4370556,0,72035.27
3231,457.1102085,6.4370556,0,70563.47
3233,466.1706457,6.4370556,0,226017.77
3235,480.1506391,6.4370556,0,55942.41
3241,579.1707498,6.4710827,0,82230.38
3244,697.1977046,6.505431,15928.796,0
3250,453.1384861,6.5310755,0,506937.5
3251,601.1521284,6.5310755,0,179841.9
3253,617.1259947,6.5310755,0,141332.02
3255,579.1704333,6.5353603,396180.03,3428049
3262,610.2123642,6.564788,0,695613.75
3263,636.3383566,6.564788,0,295561.25
3272,449.10794,6.632236,0,75392.6
3273,463.0872111,6.632236,0,47407.082
3275,533.3408316,6.6394434,54874.234,0
3297,601.1522701,6.6921215,0,137909.64
3298,610.212619,6.6921215,0,431928.56
3299,617.1261587,6.6921215,0,104209.9
3307,579.1704392,6.700319,358213.06,4021209.8
3314,1019.328951,6.7272196,0,84472.75
3318,449.1079503,6.7574,0,133466.2
3321,1049.340382,6.7574,0,99769.516
3332,309.2061479,6.8006225,7691.9956,78529.42
3336,362.2535741,6.831211,9536.271,78735
3343,601.1519601,6.896063,0,142308.9
3345,617.1261594,6.896063,0,100423.38
3349,579.1703317,6.899485,679523.5,7910499
3355,650.3546846,6.929229,35306.312,417589.5
3367,251.1852537,7.0512853,30913.832,127243.26
3374,268.2119839,7.066431,31413.225,131559.7
3377,315.0863798,7.0908337,0,168811.22
3383,288.1808823,7.130201,0,22656.832
3388,895.1937676,7.160728,0,19237.078
3392,759.1773729,7.1913867,0,23230.852
3396,463.1236366,7.229995,0,129990.35
3399,488.2126508,7.259699,0,211226.44
3402,381.1806159,7.2848244,586251.06,2710404.5
3406,403.1627484,7.2979236,0,48456.574
3412,366.191216,7.3344293,34544.07,37138.438
3413,380.2069425,7.3344293,18918.834,31644.203
3438,177.0561791,7.426602,19192.734,91489.29
3439,411.1910432,7.426602,1457112.1,6428318
3440,433.1729534,7.426602,52669.32,57368.914
3442,456.2491327,7.426602,50070.598,67985.086
3452,301.0706608,7.519833,0,48126.867
3455,525.173462,7.519833,0,83682.47
3456,1049.339785,7.519833,0,166779.11
3460,289.0907463,7.5573387,0,43511.97
3467,177.0564056,7.560073,22082.645,99669.516
3468,441.2016602,7.560073,1154289.4,5084365.5
3472,463.1836372,7.57481,35850.582,47379.76
3473,486.2596729,7.57481,41136.996,60959.914
3482,349.1645728,7.721014,31201.34,29333.504
3484,380.2068639,7.721014,17259.002,24303.832
3496,285.0759408,7.792282,0,203818.3
3503,277.0346263,7.853278,0,21741.453
3517,394.2223863,7.9123707,11563.061,0
3524,308.2219326,7.952175,32277.533,286072.4
3525,336.1228304,7.952175,18300.127,42816.555
3527,285.0759039,7.9617677,0,40869.77
3530,959.5213877,7.9617677,0,63844.844
3537,668.3292438,7.9922347,0,22038.68
3548,227.1280026,8.161933,0,20286.691
3549,258.1700109,8.161933,0,20118.082
3561,584.2756744,8.236061,44719.82,345870.44
3565,813.4624814,8.261196,0,34128.617
3586,374.2535549,8.329052,0,128111.734
3601,423.3619279,8.332411,8427.591,82623.87
3602,960.5524245,8.332411,33114.406,324293.1
3605,307.6464292,8.358824,0,33312.266
3608,614.2859788,8.364602,58888.727,470267.72
3625,346.2586467,8.431179,26658.754,224802.58
3633,684.323412,8.456934,0,55031.41
3635,644.2964487,8.465375,79219.91,518986.03
3636,293.2110427,8.465611,12987.665,110415.6
3640,260.185682,8.486808,0,46383.734
3676,346.2586002,8.5591755,28318.062,306074.75
3677,360.2741618,8.5591755,4753.272,114790.64
3679,674.3069697,8.564207,59892.07,0
3686,684.3232365,8.584036,0,48239.402
3699,814.4948555,8.633422,27856.193,0
3715,346.2587826,8.741433,0,55095.29
3737,971.4849791,8.836514,0,53183.094
3738,226.1800825,8.861303,19668.395,48503.43
3739,244.1907057,8.861303,30640.03,77898.25
3742,271.0600652,8.90326,0,98443.96
3749,682.308062,8.90326,0,42544.523
3757,666.3130573,8.938593,19106.436,183108
3781,698.3390594,8.967128,0,58429.016
3783,295.2267592,8.971785,24668.477,216814.58
3785,348.2742255,8.971785,73487.61,643132.75
3786,362.2897135,8.971785,10306.805,195087.72
3805,301.0706447,9.026495,0,87451.74
3807,825.4265349,9.026495,0,61500.777
3816,348.2742568,9.093088,0,165327.08
3818,362.2898988,9.093088,0,40859.027
3827,301.0706157,9.099375,25353.512,215809.06
3829,293.2110862,9.114239,10392.841,115407.55
3830,439.356959,9.114239,8833.116,76780.664
3844,958.5369165,9.122816,0,180330.2
3861,716.2924199,9.182819,0,49390.58
3863,249.1848139,9.189404,7581.548,75461.21
3864,267.1952967,9.207342,5077.1807,50501.17
3866,303.2165103,9.207342,4563.3145,45155.652
3895,972.515715,9.2483225,0,254898.38
3909,309.20585,9.287676,25881.979,286087.94
3917,453.336715,9.342775,0,11860.858
3920,235.1692289,9.375293,0,52271.89
3931,253.2159971,9.42738,15952.713,214620.47
3932,271.226747,9.42738,17673.525,243789.97
3933,289.2373217,9.42738,17312.89,197660.7
3936,235.2054822,9.434844,0,51752.5
3940,320.279345,9.434844,0,63214.656
3964,365.2322823,9.499099,0,42915.793
3970,650.3184871,9.524046,10640.056,107830.375
3991,453.3360935,9.591279,0,39973.78
3994,826.4577724,9.591279,0,92307.4
3997,563.2501127,9.600231,5448.9453,70285.47
3998,680.3288039,9.600231,76326.234,769376.7
4016,295.2268262,9.653147,0,73248.35
4021,650.3181165,9.678772,65916.234,693433.75
4023,283.0600561,9.68272,0,38504.28
4034,195.1379512,9.714765,0,72609.4
4035,213.1484745,9.714765,0,53031.418
4041,275.2005888,9.742079,9093.565,83076.42
4042,342.263859,9.742079,3740.9639,57739.297
4057,275.2005384,9.808983,8631.798,79667.99
4059,348.2742106,9.808983,4392.3193,43783.176
4078,287.2215019,9.841373,0,113192.05
4079,318.2636103,9.841373,0,88031.41
4082,181.1222597,9.877107,24156.32,225723.12
4114,291.1953096,9.973108,0,29814.613
4115,299.0913372,9.973108,0,71254.01
4131,228.1957046,10.014315,68770.53,376055.8
4132,293.2108928,10.014315,9129.91,83019.42
4140,423.3613896,10.065317,37907.996,287854.4
4141,441.3722104,10.065317,42181.54,298695.38
4144,635.4146369,10.065317,22947.582,175275.45
4158,343.2950279,10.0948105,186209.14,296553
4172,797.4668294,10.095703,0,186300.05
4173,925.5143382,10.095703,0,130373.266
4180,943.525383,10.128307,938512.25,6724831
4194,757.3187203,10.158115,15839.42,176960.31
4196,684.3023785,10.158923,0,101220.89
4200,621.3281754,10.188107,7264.4717,84383.016
4201,664.3342591,10.188107,9330.938,117238.46
4206,1013.531433,10.188832,0,252622.34
4208,291.1953174,10.225754,0,38749.81
4212,423.3618036,10.255869,0,23643.176
4232,757.318795,10.285797,0,55192.883
4243,340.2477984,10.345317,0,71008.01
4251,291.1953437,10.34885,31490.572,389624.28
4252,309.2058007,10.34885,43009.496,410166.12
4267,664.3337789,10.381559,45563.105,510757.5
4270,288.2894784,10.411449,23124.86,26251.428
4276,441.3718497,10.439782,0,183559.75
4284,635.4145049,10.441081,31231.877,230415.61
4285,666.3124145,10.441081,252906.95,2119365.2
4286,784.4832722,10.44238,40464.164,0
4294,352.2508605,10.477019,362295.9,302150.22
4323,407.3663552,10.506222,168096.2,811125.6
4324,425.3767576,10.506222,203129.66,1018899.56
4331,797.4669107,10.506222,2135129,1.15E+07
4332,867.4725451,10.506222,34720.76,365194.06
4334,944.5563495,10.506222,907541.9,1767738.2
4338,446.7101558,10.522253,29199.098,84655.01
4346,599.3933209,10.538446,14717.265,95869.484
4347,779.4559605,10.538446,32722.102,169505.19
4368,697.3546039,10.593012,0,191236
4372,927.5310581,10.593012,0,66901.86
4378,425.3771566,10.59754,41427.17,269489.06
4379,666.3125492,10.59754,72482.74,887632
4380,944.5570843,10.59754,178591.55,932279.44
4398,295.1901796,10.689031,0,175963.98
4399,313.2005393,10.689031,0,57553.527
4401,344.2428069,10.689031,0,159718.42
4406,277.1797669,10.696268,11816.552,152060.92
4409,941.5105174,10.715515,39866.47,347021.16
4424,731.339461,10.757341,0,58738.465
4427,700.2974436,10.762711,73315.516,711629.8
4450,635.3437256,10.891909,11114.096,112156.57
